PRISM Time Series Data
Location:  Lat: 44.8983   Lon: -89.7591   Elev: 1243ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2009-01-01 - 2020-12-01
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Apr-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2009-01-01,0.00,-9.6,-0.4,8.8,-6.8,0.14,0.88
2009-01-02,0.00,2.6,12.2,21.8,11.3,0.18,1.06
2009-01-03,0.02,-1.0,6.7,14.4,-0.1,0.25,1.10
2009-01-04,0.14,13.4,20.4,27.4,20.4,0.06,1.09
2009-01-05,0.00,-8.2,9.2,26.7,1.9,0.12,1.02
2009-01-06,0.00,-8.9,5.0,18.8,1.1,0.11,1.42
2009-01-07,0.03,-1.8,12.3,26.2,12.2,0.06,2.34
2009-01-08,0.00,13.5,18.5,23.6,15.4,0.12,0.92
2009-01-09,0.00,-4.3,6.4,17.2,0.5,0.16,1.37
2009-01-10,0.00,-0.3,7.9,16.1,1.1,0.21,1.34
2009-01-11,0.00,-2.5,8.0,18.5,0.4,0.14,1.37
2009-01-12,0.00,-1.4,8.7,18.8,4.3,0.15,1.37
2009-01-13,0.11,-5.0,5.6,16.2,5.1,0.15,0.81
2009-01-14,0.00,-14.3,-6.6,1.1,-14.0,0.14,0.69
2009-01-15,0.00,-18.8,-6.4,5.9,-15.1,0.15,1.30
2009-01-16,0.00,-20.8,-12.4,-4.0,-20.9,0.13,0.58
2009-01-17,0.06,-21.7,-9.8,2.1,-14.8,0.12,0.92
2009-01-18,0.04,0.7,6.5,12.4,2.2,0.17,0.71
2009-01-19,0.00,-3.9,6.2,16.3,4.7,0.09,0.84
2009-01-20,0.01,0.3,8.2,16.1,5.5,0.15,1.30
2009-01-21,0.00,1.3,9.3,17.3,8.1,0.14,0.99
2009-01-22,0.00,12.9,16.1,19.4,14.2,0.12,0.80
2009-01-23,0.00,13.9,17.5,21.2,16.8,0.06,0.46
2009-01-24,0.00,-10.1,6.6,23.2,1.1,0.12,1.27
2009-01-25,0.00,-11.4,-4.1,3.1,-13.8,0.19,0.89
2009-01-26,0.00,-11.4,-3.1,5.1,-13.8,0.21,0.99
2009-01-27,0.00,-15.3,-5.2,4.8,-13.9,0.14,0.96
2009-01-28,0.00,-14.6,-2.5,9.7,-10.7,0.14,1.34
2009-01-29,0.01,-12.4,0.6,13.5,-0.2,0.14,1.29
2009-01-30,0.00,-4.5,6.5,17.5,2.9,0.21,1.07
2009-01-31,0.00,-6.5,3.2,12.9,-3.1,0.18,1.10
2009-02-01,0.00,13.8,25.7,37.5,22.2,0.18,2.94
2009-02-02,0.00,16.3,24.4,32.5,16.0,0.55,2.97
2009-02-03,0.00,2.2,9.6,16.9,0.9,0.26,1.33
2009-02-04,0.00,-8.0,1.4,10.8,-5.9,0.17,1.16
2009-02-05,0.00,-9.0,1.3,11.5,-5.0,0.15,1.14
2009-02-06,0.00,1.0,13.1,25.2,3.5,0.20,2.38
2009-02-07,0.00,1.8,19.2,36.6,19.2,0.13,3.35
2009-02-08,0.00,20.7,29.1,37.5,27.0,0.15,1.89
2009-02-09,0.00,18.1,26.8,35.4,19.8,0.13,2.92
2009-02-10,0.10,26.0,34.8,43.7,33.9,0.06,1.61
2009-02-11,0.00,32.6,38.0,43.4,33.0,0.57,2.88
2009-02-12,0.03,29.9,32.5,35.0,30.3,0.14,1.19
2009-02-13,0.00,22.0,26.3,30.6,22.0,0.46,1.58
2009-02-14,0.00,20.8,24.5,28.1,19.5,0.47,1.65
2009-02-15,0.00,7.5,16.3,25.2,9.6,0.27,2.13
2009-02-16,0.00,1.5,12.1,22.6,5.0,0.19,2.09
2009-02-17,0.00,1.5,15.0,28.5,11.1,0.21,2.88
2009-02-18,0.36,25.3,31.4,37.6,26.8,0.02,2.96
2009-02-19,0.00,1.9,15.8,29.7,7.4,0.18,1.40
2009-02-20,0.00,-1.3,7.5,16.3,-2.9,0.31,1.67
2009-02-21,0.02,-3.3,9.2,21.6,3.7,0.24,2.31
2009-02-22,0.07,7.2,14.5,21.7,12.4,0.22,0.99
2009-02-23,0.00,-2.9,8.6,20.1,1.7,0.15,1.75
2009-02-24,0.00,-2.2,9.2,20.5,1.4,0.20,2.15
2009-02-25,0.01,15.0,25.1,35.3,18.2,0.63,3.33
2009-02-26,0.04,16.7,29.2,41.6,25.3,0.12,3.03
2009-02-27,0.40,3.1,16.5,30.0,16.5,0.05,1.20
2009-02-28,0.00,-8.9,2.9,14.6,-7.2,0.19,1.80
2009-03-01,0.00,-6.8,6.0,18.8,-3.2,0.23,2.02
2009-03-02,0.00,-10.2,2.8,15.7,-8.2,0.19,1.96
2009-03-03,0.00,-11.7,3.6,18.8,-9.1,0.17,2.50
2009-03-04,0.00,-9.2,7.6,24.4,5.6,0.20,2.57
2009-03-05,0.00,21.0,29.2,37.4,19.1,0.94,4.21
2009-03-06,0.00,31.2,36.2,41.3,35.1,0.11,1.99
2009-03-07,0.00,27.3,33.3,39.4,31.2,0.07,1.71
2009-03-08,0.00,25.9,34.5,43.2,26.4,0.17,4.12
2009-03-09,0.01,16.2,24.5,32.8,20.3,0.26,2.26
2009-03-10,0.04,16.5,28.6,40.6,24.3,0.12,4.28
